generated_at_utc,snapshot_date,wallet_role,wallet_address,reconciliation_status,internal_nav_usd,data_api_nav_usd,onchain_nav_usd,max_pairwise_delta_usd,unexplained_discrepancy_usd,contracts_page_sha256,rpc_chain_id
2026-07-14T13:20:55Z,2026-07-14,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.787217,12.787217,0.136132,0.0,07afa40803eaa7d44b2e303cf2da0c921d909132cb00562234151dd4cd1169db,137
2026-07-15T07:49:55Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T07:58:08Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T08:15:09Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T08:31:38Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T08:48:24Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T09:04:14Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T09:16:41Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T09:34:49Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
2026-07-15T09:45:38Z,2026-07-15,operator,0xD2EC3c8f541ad3aaC9396d63650D9d297bd55D2f,clean,12.923349,12.730349,12.730349,0.193,0.0,089a1db16c07f500bc9f743cf15083e8946f8ba001ef8bacff6cbd71801b459f,137
